世代,個体No,実値,適応度, 係数0, 係数1
398,8,1.381,13.814,-0.58,0.53
399,59,1.784,17.839,0.46,-0.04
400,67,1.906,19.059,0.26,0.15
401,72,1.565,15.647,-0.59,0.30
402,45,1.979,19.790,-0.00,-0.15
403,66,1.853,18.533,-0.34,0.18
404,56,1.909,19.086,-0.25,0.17
405,96,1.454,14.544,0.70,-0.24
406,89,0.672,6.718,0.93,-0.68
407,39,1.247,12.474,0.09,-0.86
408,97,0.624,6.237,-0.65,-0.98
409,31,0.356,3.564,-1.10,-0.66
410,86,0.993,9.931,-0.74,0.67
411,85,-0.383,-3.834,-1.43,-0.59
412,71,1.744,17.443,-0.47,-0.18
413,81,1.528,15.277,-0.67,-0.13
414,37,1.361,13.614,-0.04,-0.80
415,95,0.574,5.737,-0.80,0.89
416,78,0.578,5.784,1.07,0.52
417,3,1.875,18.749,0.29,0.20
418,3,0.279,2.790,0.61,1.16
419,52,1.413,14.129,0.28,0.71
420,94,0.865,8.648,1.00,-0.38
421,85,1.957,19.571,-0.05,-0.20
422,79,1.000,9.995,0.83,0.56
423,21,1.547,15.466,0.51,-0.44
424,15,1.968,19.682,0.18,-0.01
425,62,1.598,15.983,0.61,0.16
426,3,0.419,4.189,-1.25,-0.16
427,25,-0.991,-9.914,1.36,-1.07
428,4,1.644,16.439,-0.60,-0.03
429,47,0.126,1.260,-1.33,-0.34
430,86,1.572,15.720,-0.05,-0.65
431,30,-1.134,-11.341,-1.69,0.54
432,72,1.793,17.928,0.45,0.03
433,24,1.827,18.266,-0.16,0.38
434,90,1.892,18.922,-0.27,-0.19
435,31,0.847,8.471,1.05,-0.21
436,19,0.384,3.841,0.89,-0.91
437,40,1.068,10.684,0.66,-0.71
438,85,0.866,8.663,-0.86,-0.63
439,90,-0.355,-3.545,-0.32,-1.50
440,96,1.804,18.039,0.21,0.39
441,39,1.892,18.922,0.17,-0.28
442,21,-0.004,-0.044,-0.20,1.40
443,70,0.933,9.335,-0.86,-0.57
444,68,0.945,9.447,0.13,-1.02
445,8,1.656,16.558,-0.35,0.47
446,57,-0.457,-4.574,-0.22,-1.55
447,19,1.473,14.734,0.71,0.17
448,42,0.617,6.174,1.17,0.16
449,12,1.363,13.630,0.08,-0.79
450,4,1.207,12.070,-0.76,0.46
451,41,1.838,18.381,-0.18,-0.36
452,96,1.636,16.361,-0.27,-0.54
453,52,0.639,6.391,-0.16,1.16
454,82,0.999,9.994,-0.28,-0.96
455,20,0.855,8.548,0.31,1.03
456,76,1.152,11.516,-0.56,0.73
457,97,1.320,13.198,0.79,0.23
458,55,1.891,18.907,0.22,-0.24
459,97,-0.710,-7.097,-0.77,1.46
460,4,1.072,10.725,-0.96,-0.09
461,65,-0.903,-9.031,0.37,-1.66
462,1,1.957,19.570,-0.02,0.21
463,68,1.131,11.308,-0.85,-0.39
464,11,1.254,12.539,0.14,0.85
465,31,1.769,17.692,-0.07,-0.48
466,54,1.634,16.337,-0.59,0.13
467,38,0.601,6.013,0.06,-1.18
468,52,0.779,7.791,-0.27,1.07
469,34,1.963,19.632,0.11,0.16
470,95,-0.418,-4.176,-1.45,-0.55
471,15,1.745,17.453,0.34,0.38
472,5,1.048,10.478,0.18,-0.96
473,93,1.858,18.583,-0.36,-0.12
474,32,0.480,4.796,-0.98,0.75
475,61,1.622,16.222,0.47,0.40
476,87,1.410,14.096,0.30,0.71
477,17,0.794,7.938,-0.00,-1.10
478,73,1.558,15.575,-0.35,0.57
479,50,1.907,19.071,-0.12,-0.28
480,41,1.602,16.023,-0.19,0.60
481,66,1.952,19.520,-0.22,0.01
482,29,1.900,18.997,0.09,0.30
483,46,1.763,17.634,-0.41,0.26
484,47,0.645,6.453,-1.12,0.32
485,45,1.821,18.205,-0.12,0.41
486,98,1.940,19.404,0.16,0.19
487,5,1.735,17.352,0.43,0.29
488,38,1.900,19.001,0.09,0.30
489,6,1.732,17.323,0.52,-0.02
490,38,1.380,13.804,0.55,0.56
491,66,1.103,11.029,-0.70,-0.64
492,99,1.880,18.800,-0.23,0.26
493,26,0.869,8.693,-0.81,-0.69
494,92,1.472,14.717,0.53,-0.50
495,59,1.468,14.680,-0.44,-0.58
496,72,1.896,18.965,-0.24,-0.22
497,98,-0.361,-3.610,1.21,-0.94
498,29,1.676,16.762,0.57,-0.01
499,26,-0.579,-5.791,1.59,0.21
500,12,1.896,18.964,0.07,-0.31
501,65,1.645,16.453,0.40,-0.44
502,15,1.678,16.781,0.10,-0.56
503,34,1.834,18.336,0.27,-0.31
504,38,1.740,17.402,0.26,-0.44
505,54,0.987,9.867,0.55,0.84
506,33,1.824,18.240,-0.33,0.26
507,79,1.537,15.374,0.21,-0.65
508,60,0.539,5.387,0.09,-1.21
509,62,1.626,16.265,0.40,-0.46
510,68,1.659,16.594,0.36,0.46
